fid,GISJOIN,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
"1",G24000307301003,"24","003","730100","3","240037301003",Block Group 3,G5030,S,18668267,3523796,"+39.1801207","-076.5569878",34464.40039,18767129.5795
"2",G24000307501012,"24","003","750101","2","240037501012",Block Group 2,G5030,S,351895,0,"+39.2293901","-076.6099290",2694.13998138,351895.068544
"3",G24000307501021,"24","003","750102","1","240037501021",Block Group 1,G5030,S,643787,13704,"+39.2340928","-076.6152756",6340.29337672,657493.746144
"4",G24000307502012,"24","003","750201","2","240037502012",Block Group 2,G5030,S,2332449,136642,"+39.2149366","-076.6338246",7090.09719356,2469091.74669
"5",G24000307503001,"24","003","750300","1","240037503001",Block Group 1,G5030,S,1878902,111041,"+39.2276159","-076.6573420",6616.32304776,1989940.47338
"6",G24000307512003,"24","003","751200","3","240037512003",Block Group 3,G5030,S,18399749,90536,"+39.1852929","-076.7025132",29231.4832526,18490286.2786
"7",G24000504001001,"24","005","400100","1","240054001001",Block Group 1,G5030,S,1003587,0,"+39.2668184","-076.7101467",4695.30651983,1003586.92995
"8",G24000504001002,"24","005","400100","2","240054001002",Block Group 2,G5030,S,410621,9219,"+39.2692708","-076.7018504",2816.26862645,419841.126957
"9",G24000504001003,"24","005","400100","3","240054001003",Block Group 3,G5030,S,460364,0,"+39.2711810","-076.7056540",4635.72166365,460366.485637
"10",G24000504002001,"24","005","400200","1","240054002001",Block Group 1,G5030,S,574472,0,"+39.2743816","-076.7094116",3610.41134848,574474.433186
"11",G24000504002002,"24","005","400200","2","240054002002",Block Group 2,G5030,S,347811,0,"+39.2725274","-076.7183202",2776.56188717,347810.134303
"12",G24000504004001,"24","005","400400","1","240054004001",Block Group 1,G5030,S,570143,0,"+39.2662027","-076.7329531",3597.05300038,570142.21376
"13",G24000504004002,"24","005","400400","2","240054004002",Block Group 2,G5030,S,2253342,0,"+39.2590153","-076.7234297",9189.64128676,2253341.99954
"14",G24000504004003,"24","005","400400","3","240054004003",Block Group 3,G5030,S,519772,0,"+39.2668451","-076.7392724",3133.30375399,519773.570325
"15",G24000504004004,"24","005","400400","4","240054004004",Block Group 4,G5030,S,404087,0,"+39.2618383","-076.7409198",3333.86350577,404087.346436
"16",G24000504004005,"24","005","400400","5","240054004005",Block Group 5,G5030,S,5219530,7438,"+39.2375479","-076.7339921",11214.6927755,5226966.85847
"17",G24000504005001,"24","005","400500","1","240054005001",Block Group 1,G5030,S,5796998,0,"+39.2543871","-076.7516836",11480.9788913,5796995.94065
"18",G24000504006001,"24","005","400600","1","240054006001",Block Group 1,G5030,S,164545,0,"+39.2829474","-076.7124466",2199.74849355,164545.711195
"19",G24000504006002,"24","005","400600","2","240054006002",Block Group 2,G5030,S,311779,0,"+39.2785967","-076.7154122",2516.50641969,311779.043904
"20",G24000504006003,"24","005","400600","3","240054006003",Block Group 3,G5030,S,492545,0,"+39.2780446","-076.7221269",2997.95605325,492545.611848
"21",G24000504007011,"24","005","400701","1","240054007011",Block Group 1,G5030,S,236834,0,"+39.2826126","-076.7202389",2125.67874999,236834.014319
"22",G24000504007012,"24","005","400701","2","240054007012",Block Group 2,G5030,S,949880,0,"+39.2852290","-076.7283431",4291.90611967,949882.550435
"23",G24000504007021,"24","005","400702","1","240054007021",Block Group 1,G5030,S,702073,0,"+39.2880154","-076.7166223",3591.86825649,702072.060726
"24",G24000504008001,"24","005","400800","1","240054008001",Block Group 1,G5030,S,927377,0,"+39.2810794","-076.7389096",3717.77568515,927377.264709
"25",G24000504008002,"24","005","400800","2","240054008002",Block Group 2,G5030,S,545499,0,"+39.2766619","-076.7293462",2960.64824582,545498.113089
"26",G24000504009001,"24","005","400900","1","240054009001",Block Group 1,G5030,S,1023192,0,"+39.2786877","-076.7494396",4429.269691,1023192.76159
"27",G24000504010001,"24","005","401000","1","240054010001",Block Group 1,G5030,S,588049,0,"+39.2737407","-076.7376938",3167.01947203,588049.695441
"28",G24000504010002,"24","005","401000","2","240054010002",Block Group 2,G5030,S,767553,0,"+39.2712869","-076.7495843",3752.6436541,767552.756724
"29",G24000504011011,"24","005","401101","1","240054011011",Block Group 1,G5030,S,665793,0,"+39.2998621","-076.7352962",3858.94902758,665792.960267
"30",G24000504011012,"24","005","401101","2","240054011012",Block Group 2,G5030,S,877054,0,"+39.2918589","-076.7367819",4441.45856053,877053.445841
"31",G24000504011013,"24","005","401101","3","240054011013",Block Group 3,G5030,S,868281,0,"+39.3003849","-076.7265334",4161.75375366,868279.091339
"32",G24000504011014,"24","005","401101","4","240054011014",Block Group 4,G5030,S,518510,0,"+39.3028275","-076.7400270",3126.22054169,518509.835199
"33",G24000504011021,"24","005","401102","1","240054011021",Block Group 1,G5030,S,3464317,0,"+39.3110803","-076.7306313",8507.97328691,3464317.35904
"34",G24000504012001,"24","005","401200","1","240054012001",Block Group 1,G5030,S,846645,0,"+39.3145440","-076.7196422",5709.52822453,846644.540604
"35",G24000504012002,"24","005","401200","2","240054012002",Block Group 2,G5030,S,1108552,0,"+39.3204764","-076.7166707",5028.66111739,1108551.5815
"36",G24000504013011,"24","005","401301","1","240054013011",Block Group 1,G5030,S,509791,0,"+39.2998810","-076.7167086",3226.76225418,509788.2514
"37",G24000504013012,"24","005","401301","2","240054013012",Block Group 2,G5030,S,136392,0,"+39.2958207","-076.7230625",1631.77197166,136392.44086
"38",G24000504013013,"24","005","401301","3","240054013013",Block Group 3,G5030,S,509644,0,"+39.2920306","-076.7267796",2916.88835385,509641.925309
"39",G24000504013021,"24","005","401302","1","240054013021",Block Group 1,G5030,S,442995,0,"+39.2944406","-076.7147580",3119.81854132,442995.126355
