GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504001001,618,160000,1379.33657,44.70873786,1.847087379,1.932038835,0,0.181486128,0.758715251,0.622112915,-0.622540359,1,-7377.110624
G24000504001003,245,134900,1407.17551,82.65306122,1.734693878,1.591836735,0,0.190196197,0.526550849,0.676225269,-0.761803077,1,12834.99297
G24000504002001,520,149900,1345.190385,74.11538462,1.973076923,1.526923077,0,0.17080269,0.578789087,0.561454684,-0.788375671,1,43292.4074
G24000504002002,647,160000,1352.757342,71.80834621,1.914992272,1.58423493,0,0.173170191,0.592904826,0.589419799,-0.764914897,1,43729.0497
G24000504004001,287,207500,1727.777003,75.75261324,1.731707317,1.867595819,0.006438844,0.290503923,0.568771614,0.677663162,-0.648920294,0.989834095,41762.98045
G24000504004002,545,229900,1924.005505,58.17798165,1.81559633,2.036697248,0,0.35189863,0.676302952,0.637274421,-0.579698133,1,31723.16814
G24000504004003,352,249500,1834.491477,81.85227273,1.794034091,1.752840909,0,0.323892059,0.531450517,0.647655658,-0.69589555,1,93760.94764
G24000504004004,306,259950,1512.957516,72.46405229,1.5,1.656862745,0,0.223292588,0.588892853,0.789219689,-0.73518449,1,105247.4903
G24000504004005,727,280000,2283.669876,29.96973865,1.940165062,2.415405777,0,0.464428098,0.848896617,0.577300247,-0.424672697,1,19247.85056
G24000504005001,751,3.00E+05,2133.451398,55.24633822,1.768308921,2.118508655,0.001292946,0.41742871,0.694240371,0.660041156,-0.546208396,0.997958644,78643.64567
G24000504006001,341,117000,1300.325513,76.96187683,2.008797654,1.557184751,0,0.156765659,0.561372669,0.544256778,-0.775987967,1,15303.80723
G24000504006002,547,143000,1353.347349,82.57221207,1.941499086,1.531992687,0.041732434,0.173354789,0.527045529,0.576657975,-0.786300411,0.934111155,41116.5676
G24000504006003,532,190000,1481.236842,80.56390977,1.739661654,1.736842105,0,0.213368028,0.539333435,0.673833511,-0.702444707,1,52120.47524
G24000504007011,732,183350,1346.916667,69.49043716,2.00068306,1.864754098,0,0.171342798,0.607087079,0.548163585,-0.650083561,1,51169.64729
G24000504007012,365,151534,1366.460274,44.54794521,1.801369863,1.884931507,0,0.177457476,0.759699069,0.644123817,-0.64182388,1,-14625.66174
G24000504007021,850,145500,1460.864706,76.70352941,1.887058824,1.738823529,0,0.206994126,0.562953382,0.602868483,-0.701633605,1,14310.52455
G24000504008001,613,130000,1249.82708,69.31647635,1.590538336,1.526916803,0,0.140966035,0.608151467,0.745629601,-0.788378239,1,2767.72603
G24000504008002,346,208217.5,1677.615607,73.91618497,1.851156069,1.696531792,0,0.274809749,0.5800079,0.620154025,-0.718945851,1,62786.62522
G24000504009001,547,184500,1513.650823,69.86837294,1.564899452,1.740402194,0.001797832,0.223509505,0.604774658,0.757973557,-0.700987374,0.997161511,25757.87331
G24000504010001,287,165000,1794.891986,90.19860627,1.975609756,1.742160279,0,0.311502426,0.480383022,0.56023524,-0.700267697,1,29621.12054
G24000504010002,283,255000,2059.689046,78.4770318,1.991166078,1.943462898,0.00136757,0.394350421,0.552102112,0.552745579,-0.617863885,0.997840825,81620.21556
G24000504011011,497,129900,1389.311871,51.60362173,1.688128773,1.38832998,0,0.184607136,0.71652853,0.698644248,-0.845109158,1,-4244.805989
G24000504011012,828,118000,1316.358696,64.3236715,1.582125604,1.242753623,0,0.161782018,0.638700215,0.749679949,-0.904701262,1,2098.504591
G24000504011013,947,122000,1198.666315,59.48152059,1.276135164,1.516367476,0,0.124959185,0.668327178,0.897000417,-0.792696637,1,-27719.47643
G24000504011014,197,133000,1413.817259,46.5786802,1.913705584,1.47715736,0,0.192274224,0.747273907,0.590039281,-0.808747412,1,533.4535017
G24000504011021,182,97250,1278.554945,65.15384615,1.376373626,1.186813187,0.09907308,0.149954224,0.633620746,0.84874016,-0.927600643,0.843579436,-22218.12361
G24000504012001,587,105000,1391.446337,78.10562181,1.495741056,1.669505963,0,0.185274954,0.554374604,0.791270176,-0.730008953,1,-39163.39636
G24000504012002,964,114383,1497.372407,70.13485477,1.69813278,1.692946058,0.004960061,0.218416419,0.603144174,0.693827774,-0.720413681,0.992168856,-31999.3582
G24000504013011,961,92000,1168.509886,64.35900104,1.998959417,1.202913632,0.011250941,0.115524036,0.638484049,0.548993441,-0.921009879,0.982236562,12374.99451
G24000504013012,504,96050,1225.103175,64.05753968,1.999007937,1.325396825,0,0.133230579,0.640328557,0.548970081,-0.870871027,1,4133.584706
G24000504013013,581,118500,1247.154905,64.80550775,1.510327022,1.535283993,0,0.140129982,0.635752073,0.784247697,-0.784953106,1,-17433.62746
G24000504013021,733,95000,1182.442019,70.23465211,1.916780355,1.311050477,0.002800918,0.119883032,0.602533559,0.588558919,-0.876743747,0.995577799,6703.6723
G24000504013022,425,98400,1226.329412,67.42352941,2,1.362352941,0,0.133614236,0.619733566,0.548492448,-0.855742934,1,6563.301471
