GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504001001,619,160000,1378.672052,44.74959612,1.845718901,1.930533118,0.16218154,0.758465257,0.625835915,0.368924821,-3255.709768,0,0
G24000504001003,245,134900,1407.17551,82.65306122,1.734693878,1.591836735,0.170160058,0.526550849,0.678855219,0.233191791,13754.37524,0,0
G24000504002001,520,149900,1345.190385,74.11538462,1.973076923,1.526923077,0.152809553,0.578789087,0.56501689,0.207177555,45761.04573,0,0
G24000504002002,647,160000,1352.757342,71.80834621,1.914992272,1.58423493,0.15492765,0.592904826,0.592754851,0.230145358,46258.66246,0,0
G24000504004001,291,207500,1751.305842,76.02061856,1.742268041,1.886597938,0.266486961,0.567131809,0.675238225,0.351317739,34838.65868,0.006438844,0.010165905
G24000504004002,578,251450,2004.918685,56.01557093,1.814013841,2.103806228,0.33747675,0.689533779,0.640976468,0.438364253,32824.62072,0,0
G24000504004003,356,250000,1847.469101,82.01404494,1.796348315,1.761235955,0.293404404,0.530460705,0.649412529,0.301078756,85306.02017,0,0
G24000504004004,316,267200,1542.781646,72.53481013,1.512658228,1.670886076,0.208118116,0.588459917,0.784886953,0.264870921,108201.7965,0,0
G24000504004005,771,295000,2332.457847,29.64072633,1.944228275,2.435797665,0.429159551,0.850909697,0.578793381,0.571410267,15700.90507,0,0
G24000504005001,848,326750,2247.257075,52.06957547,1.799528302,2.205188679,0.405310661,0.713677566,0.647893946,0.478993406,77796.27435,0.001292946,0.002041356
G24000504006001,341,117000,1300.325513,76.96187683,2.008797654,1.557184751,0.140251246,0.561372669,0.547958678,0.219304962,19157.79021,0,0
G24000504006002,548,143000,1353.308394,82.56934307,1.941605839,1.532846715,0.155081897,0.527063083,0.580045708,0.209551461,42638.10961,0.041732434,0.065888845
G24000504006003,533,190000,1481.016886,80.59662289,1.739212008,1.737335835,0.190829294,0.539133278,0.676697615,0.291500751,52367.37456,0,0
G24000504007011,732,183350,1346.916667,69.49043716,2.00068306,1.864754098,0.153292763,0.607087079,0.551833752,0.342563791,56105.23632,0,0
G24000504007012,365,151534,1366.460274,44.54794521,1.801369863,1.884931507,0.158763293,0.759699069,0.64701452,0.350649914,-10776.69122,0,0
G24000504007021,851,146000,1461.505288,76.72855464,1.886603995,1.739130435,0.185367724,0.562800264,0.606311494,0.292219939,15854.82731,0,0
G24000504008001,615,130000,1250.497561,69.31544715,1.591869919,1.528455285,0.126303704,0.608157764,0.747059906,0.20779159,6261.556516,0,0
G24000504008002,347,208435,1682.861671,73.71469741,1.851585014,1.700288184,0.247328478,0.581240713,0.623034589,0.276653855,57875.9901,0,0
G24000504009001,551,185000,1533.905626,69.676951,1.569872958,1.760435572,0.205633593,0.605945884,0.757564417,0.300758001,22417.05498,0.001797832,0.002838489
G24000504010001,292,167000,1821.886986,90.15753425,1.982876712,1.746575342,0.286243612,0.480634323,0.560337062,0.295203496,23321.1517,0,0
G24000504010002,297,260000,2105.525253,78.3030303,2.005050505,1.986531987,0.365637938,0.553166749,0.549748106,0.391366443,69925.30203,0.00136757,0.002159175
G24000504011011,497,129900,1389.311871,51.60362173,1.688128773,1.38832998,0.165159775,0.71652853,0.701092093,0.151636185,-4810.634881,0,0
G24000504011012,828,118000,1316.358696,64.3236715,1.582125604,1.242753623,0.144739159,0.638700215,0.751713243,0.093296265,1974.644668,0,0
G24000504011013,950,122350,1203.276842,59.39157895,1.277894737,1.52,0.113085963,0.668877491,0.896996787,0.204403123,-24235.70949,0,0
G24000504011014,197,133000,1413.817259,46.5786802,1.913705584,1.47715736,0.172019176,0.747273907,0.593369301,0.187233878,635.473365,0,0
G24000504011021,182,97250,1278.554945,65.15384615,1.376373626,1.186813187,0.134157359,0.633620746,0.84996881,0.07087806,-24195.36122,0.09907308,0.156420564
G24000504012001,587,105000,1391.446337,78.10562181,1.495741056,1.669505963,0.165757242,0.554374604,0.792965642,0.264317838,-38020.62999,0,0
G24000504012002,965,114383,1498.740933,70.15647668,1.697927461,1.693264249,0.195790503,0.60301188,0.696412791,0.273839003,-32858.76011,0.004960061,0.007831144
G24000504013011,961,92000,1168.509886,64.35900104,1.998959417,1.202913632,0.103354205,0.638484049,0.552656867,0.077330335,16348.40977,0.011250941,0.017763438
G24000504013012,504,96050,1225.103175,64.05753968,1.999007937,1.325396825,0.11919546,0.640328557,0.552633697,0.126415639,7889.415923,0,0
G24000504013013,581,118500,1247.154905,64.80550775,1.510327022,1.535283993,0.125368048,0.635752073,0.786000205,0.210528204,-14011.98062,0,0
G24000504013021,733,95000,1182.442019,70.23465211,1.916780355,1.311050477,0.107254004,0.602533559,0.591900963,0.120666321,11118.31607,0.002800918,0.004422201
G24000504013022,426,98409,1225.985915,67.42488263,2,1.361502347,0.119442551,0.619725286,0.552159943,0.140884976,10685.4202,0,0
G24000504014001,581,275000,1960.814114,62.85542169,1.765060241,1.908777969,0.325131262,0.647683781,0.664353953,0.360206416,74566.70565,0.051608301,0.081481261
G24000504015031,419,277365,1747.205251,40.35322196,1.778042959,2.159904535,0.265339148,0.785364711,0.658154137,0.460845725,61790.21871,0,0
G24000504015032,463,232000,1697.056156,60.13822894,1.589632829,1.738660907,0.251301713,0.664309072,0.748128214,0.292031775,50907.6083,0,0
G24000504015033,468,199050,1540.145299,63.57905983,1.851495726,1.882478632,0.207380165,0.643256162,0.623077228,0.349666922,40853.48085,0.088549442,0.139805422
G24000504015034,671,240500,1693.242921,70.91207154,2.060357675,1.976154993,0.250234335,0.598388731,0.523336513,0.387207849,82582.58463,0.008607167,0.013589341
G24000504015035,573,215000,1557.120419,53.06631763,1.610820244,1.837696335,0.212131739,0.707578945,0.738010297,0.331720356,34960.12965,0,0
G24000504015041,653,225000,1875.376723,41.35375191,1.67151608,2.169984686,0.301216139,0.779242914,0.709025381,0.464885359,-7536.301585,0,0
G24000504015042,440,221861,1835.581818,48.82954545,1.563636364,2.25,0.290076987,0.733501866,0.760542663,0.496951603,-13032.71094,0,0
