,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
0,1902,7,0.395,,0.041,-0.142,-0.145,-0.331,,,,0.372,,,11.880,6.170,-0.703,0
1,1902,8,0.303,,0.056,-0.126,-0.126,-0.309,,,,0.366,,,11.820,6.020,-0.581,0
2,1902,9,0.517,,0.087,-0.090,-0.093,-0.270,,,,0.357,,,11.730,6.040,-0.672,0
3,1902,10,0.578,,0.038,-0.114,-0.129,-0.297,,,,0.335,,,11.780,5.980,-0.703,0
4,1902,11,0.425,,0.005,-0.148,-0.163,-0.331,,,,0.335,,,11.720,5.890,-0.733,0
5,1902,12,0.364,,-0.126,-0.276,-0.291,-0.456,,,,0.329,,,11.800,6.210,-0.916,0
6,1903,1,0.242,,-0.203,-0.386,-0.389,-0.575,,,,0.372,,,11.840,6.020,-1.129,0
7,1903,2,0.273,,-0.248,-0.437,-0.431,-0.614,,,,0.366,,,11.850,6.080,-1.525,0
8,1903,3,0.425,,-0.075,-0.264,-0.258,-0.437,,,,0.363,,,11.650,6.150,-0.855,0
9,1903,4,0.456,,0.008,-0.166,-0.172,-0.349,,,,0.357,,,11.750,6.000,-1.404,0
10,1903,5,0.395,,0.008,-0.163,-0.172,-0.355,,,,0.363,,,11.730,5.950,-0.824,0
11,1903,6,0.547,,0.133,-0.038,-0.044,-0.221,,,,0.354,,,11.860,5.900,-0.824,0
12,1903,7,0.303,,0.017,-0.157,-0.172,-0.361,,,,0.378,,,11.710,6.050,-0.733,0
13,1903,8,0.395,,0.099,-0.090,-0.081,-0.258,,,,0.357,,,11.780,6.010,-0.520,0
14,1903,9,0.425,,0.047,-0.123,-0.123,-0.297,,,,0.344,,,11.890,6.060,-0.794,0
15,1903,10,0.425,,0.002,-0.157,-0.166,-0.331,,,,0.332,,,11.840,6.040,-1.647,0
16,1903,11,0.273,,-0.129,-0.300,-0.297,-0.465,,,,0.335,,,11.800,6.050,-1.007,0
17,1903,12,0.212,,-0.291,-0.453,-0.465,-0.635,,,,0.344,,,11.940,5.980,-0.977,0
18,1904,1,0.334,,-0.227,-0.422,-0.413,-0.599,,,,0.372,,,11.940,5.890,-1.434,0
19,1904,2,0.212,,-0.318,-0.480,-0.489,-0.663,,,,0.344,,,11.940,5.930,-1.099,0
20,1904,3,0.273,,-0.178,-0.346,-0.349,-0.517,,,,0.338,,,11.860,6.130,-0.946,0
21,1904,4,0.212,,-0.151,-0.331,-0.325,-0.501,,,,0.351,,,11.810,6.120,-1.099,0
22,1904,5,0.212,,-0.047,-0.224,-0.221,-0.398,,,,0.351,,,11.780,5.960,-0.672,0
23,1904,6,0.303,,0.011,-0.169,-0.166,-0.340,,,,0.351,,,11.820,5.970,-0.642,0
24,1904,7,0.273,,-0.011,-0.190,-0.190,-0.367,,,,0.357,,,11.810,5.950,-0.611,0
25,1904,8,0.242,,-0.041,-0.212,-0.215,-0.386,,,,0.344,,,11.830,5.930,-0.794,0
26,1904,9,0.334,,0.011,-0.166,-0.166,-0.340,,,,0.351,,,11.740,6.000,-0.733,0
27,1904,10,0.212,,-0.081,-0.239,-0.245,-0.407,,,,0.326,,,11.780,5.950,-0.824,0
28,1904,11,0.273,,-0.139,-0.306,-0.306,-0.474,,,,0.335,,,11.850,5.970,-1.404,0
