,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
0,1902,7,0.133,,-0.221,-0.404,-0.407,-0.593,,,,0.372,,,11.880,6.170,-0.965,0
1,1902,8,0.041,,-0.206,-0.388,-0.388,-0.571,,,,0.366,,,11.820,6.020,-0.843,0
2,1902,9,0.255,,-0.175,-0.352,-0.355,-0.532,,,,0.357,,,11.730,6.040,-0.934,0
3,1902,10,0.316,,-0.224,-0.376,-0.391,-0.559,,,,0.335,,,11.780,5.980,-0.965,0
4,1902,11,0.163,,-0.257,-0.410,-0.425,-0.593,,,,0.335,,,11.720,5.890,-0.995,0
5,1902,12,0.102,,-0.388,-0.538,-0.553,-0.718,,,,0.329,,,11.800,6.210,-1.178,0
6,1903,1,-0.020,,-0.465,-0.648,-0.651,-0.837,,,,0.372,,,11.840,6.020,-1.391,0
7,1903,2,0.011,,-0.510,-0.699,-0.693,-0.876,,,,0.366,,,11.850,6.080,-1.787,0
8,1903,3,0.163,,-0.337,-0.526,-0.520,-0.699,,,,0.363,,,11.650,6.150,-1.117,0
9,1903,4,0.194,,-0.254,-0.428,-0.434,-0.611,,,,0.357,,,11.750,6.000,-1.666,0
10,1903,5,0.133,,-0.254,-0.425,-0.434,-0.617,,,,0.363,,,11.730,5.950,-1.086,0
11,1903,6,0.285,,-0.129,-0.300,-0.306,-0.483,,,,0.354,,,11.860,5.900,-1.086,0
12,1903,7,0.041,,-0.245,-0.419,-0.434,-0.623,,,,0.378,,,11.710,6.050,-0.995,0
13,1903,8,0.133,,-0.163,-0.352,-0.343,-0.520,,,,0.357,,,11.780,6.010,-0.782,0
14,1903,9,0.163,,-0.215,-0.385,-0.385,-0.559,,,,0.344,,,11.890,6.060,-1.056,0
15,1903,10,0.163,,-0.260,-0.419,-0.428,-0.593,,,,0.332,,,11.840,6.040,-1.909,0
16,1903,11,0.011,,-0.391,-0.562,-0.559,-0.727,,,,0.335,,,11.800,6.050,-1.269,0
17,1903,12,-0.050,,-0.553,-0.715,-0.727,-0.897,,,,0.344,,,11.940,5.980,-1.239,0
18,1904,1,0.072,,-0.489,-0.684,-0.675,-0.861,,,,0.372,,,11.940,5.890,-1.696,0
19,1904,2,-0.050,,-0.580,-0.742,-0.751,-0.925,,,,0.344,,,11.940,5.930,-1.361,0
20,1904,3,0.011,,-0.440,-0.608,-0.611,-0.779,,,,0.338,,,11.860,6.130,-1.208,0
21,1904,4,-0.050,,-0.413,-0.593,-0.587,-0.763,,,,0.351,,,11.810,6.120,-1.361,0
22,1904,5,-0.050,,-0.309,-0.486,-0.483,-0.660,,,,0.351,,,11.780,5.960,-0.934,0
23,1904,6,0.041,,-0.251,-0.431,-0.428,-0.602,,,,0.351,,,11.820,5.970,-0.904,0
24,1904,7,0.011,,-0.273,-0.452,-0.452,-0.629,,,,0.357,,,11.810,5.950,-0.873,0
25,1904,8,-0.020,,-0.303,-0.474,-0.477,-0.648,,,,0.344,,,11.830,5.930,-1.056,0
26,1904,9,0.072,,-0.251,-0.428,-0.428,-0.602,,,,0.351,,,11.740,6.000,-0.995,0
27,1904,10,-0.050,,-0.343,-0.501,-0.507,-0.669,,,,0.326,,,11.780,5.950,-1.086,0
28,1904,11,0.011,,-0.401,-0.568,-0.568,-0.736,,,,0.335,,,11.850,5.970,-1.666,0
29,1904,12,0.011,,-0.480,-0.629,-0.648,-0.812,,,,0.332,,,11.840,5.960,-1.178,0
30,1905,1,0.011,,-0.541,-0.718,-0.715,-0.891,,,,0.351,,,11.760,5.930,-2.001,0
31,1905,2,-0.142,,-0.562,-0.730,-0.733,-0.904,,,,0.341,,,11.790,6.080,-1.361,0
32,1905,3,-0.111,,-0.434,-0.602,-0.602,-0.769,,,,0.335,,,11.800,5.990,-1.086,0
33,1905,4,0.041,,-0.398,-0.562,-0.562,-0.730,,,,0.332,,,11.670,5.950,-1.239,0
34,1905,5,-0.081,,-0.331,-0.504,-0.501,-0.675,,,,0.344,,,11.890,5.950,-0.965,0
35,1905,6,0.072,,-0.267,-0.440,-0.437,-0.608,,,,0.341,,,11.740,5.930,-0.904,0
36,1905,7,0.102,,-0.239,-0.404,-0.416,-0.590,,,,0.351,,,11.910,5.900,-0.934,0
37,1905,8,0.133,,-0.215,-0.388,-0.391,-0.568,,,,0.354,,,11.940,6.030,-0.934,0
38,1905,9,0.316,,-0.236,-0.419,-0.410,-0.584,,,,0.347,,,11.700,6.000,-0.873,0
39,1905,10,0.285,,-0.294,-0.477,-0.471,-0.644,,,,0.351,,,11.830,5.910,-1.178,0
40,1905,11,0.163,,-0.425,-0.556,-0.587,-0.745,,,,0.320,,,11.830,6.010,-1.605,0
41,1905,12,0.255,,-0.446,-0.599,-0.620,-0.794,,,,0.347,,,11.950,6.010,-1.848,0
42,1906,1,0.133,,-0.398,-0.568,-0.562,-0.724,,,,0.326,,,11.780,6.100,-1.269,0
43,1906,2,-0.050,,-0.526,-0.690,-0.696,-0.867,,,,0.341,,,11.780,5.970,-1.970,0
44,1906,3,-0.020,,-0.480,-0.654,-0.644,-0.809,,,,0.329,,,11.820,5.880,-1.208,0
45,1906,4,0.041,,-0.376,-0.547,-0.547,-0.718,,,,0.341,,,11.940,6.050,-1.422,0
46,1906,5,0.011,,-0.334,-0.510,-0.504,-0.675,,,,0.341,,,11.810,5.890,-1.239,0
47,1906,6,0.133,,-0.206,-0.379,-0.385,-0.568,,,,0.363,,,11.680,5.930,-0.843,0
48,1906,7,0.163,,-0.187,-0.364,-0.367,-0.544,,,,0.357,,,11.740,5.870,-0.782,0
49,1906,8,0.194,,-0.193,-0.364,-0.373,-0.553,,,,0.360,,,11.800,6.010,-0.873,0
50,1906,9,0.011,,-0.242,-0.425,-0.416,-0.590,,,,0.347,,,11.750,6.010,-0.934,0
51,1906,10,0.224,,-0.251,-0.391,-0.422,-0.590,,,,0.338,,,11.840,6.000,-1.086,0
52,1906,11,-0.020,,-0.459,-0.617,-0.623,-0.785,,,,0.326,,,11.980,6.020,-1.513,0
53,1906,12,0.011,,-0.538,-0.702,-0.702,-0.867,,,,0.329,,,11.910,5.910,-1.666,0
54,1907,1,-0.050,,-0.459,-0.623,-0.629,-0.797,,,,0.338,,,11.860,5.950,-1.483,0
55,1907,2,-0.081,,-0.520,-0.684,-0.690,-0.864,,,,0.344,,,11.790,6.040,-1.452,0
56,1907,3,-0.020,,-0.410,-0.577,-0.584,-0.757,,,,0.347,,,11.690,6.010,-1.391,0
57,1907,4,0.072,,-0.431,-0.605,-0.599,-0.766,,,,0.335,,,11.660,5.880,-1.452,0
58,1907,5,0.072,,-0.324,-0.495,-0.498,-0.672,,,,0.347,,,11.580,5.820,-1.056,0
59,1907,6,0.224,,-0.233,-0.404,-0.407,-0.580,,,,0.347,,,11.590,5.850,-0.843,0
60,1907,7,0.011,,-0.282,-0.468,-0.465,-0.651,,,,0.369,,,11.820,5.940,-0.965,0
61,1907,8,0.072,,-0.267,-0.456,-0.452,-0.638,,,,0.372,,,11.860,5.930,-0.934,0
62,1907,9,0.194,,-0.297,-0.462,-0.471,-0.641,,,,0.344,,,11.740,6.050,-1.025,0
63,1907,10,0.072,,-0.385,-0.535,-0.550,-0.712,,,,0.326,,,11.940,5.920,-1.330,0
64,1907,11,0.133,,-0.376,-0.538,-0.538,-0.696,,,,0.320,,,11.740,5.900,-1.147,0
65,1907,12,0.072,,-0.391,-0.553,-0.562,-0.733,,,,0.341,,,11.750,5.910,-1.361,0
66,1908,1,0.346,,-0.489,-0.648,-0.669,-0.849,,,,0.360,,,11.850,6.020,-2.062,0
67,1908,2,0.224,,-0.489,-0.672,-0.678,-0.867,,,,0.378,,,11.710,5.920,-1.635,0
68,1908,3,-0.081,,-0.410,-0.584,-0.593,-0.772,,,,0.363,,,11.730,6.160,-1.086,0
69,1908,4,0.041,,-0.425,-0.611,-0.608,-0.791,,,,0.366,,,11.700,6.090,-1.361,0
70,1908,5,0.041,,-0.288,-0.465,-0.471,-0.654,,,,0.366,,,11.710,6.000,-1.117,0
71,1908,6,0.163,,-0.251,-0.425,-0.428,-0.608,,,,0.357,,,11.820,6.030,-0.934,0
72,1908,7,0.072,,-0.242,-0.437,-0.428,-0.617,,,,0.375,,,11.790,5.790,-0.934,0
