GISJOIN,pop1990,mhi1990,hhsize1990,coastdist,cbddist,hhtrans1993,salesprice1993,salespricesf1993
G24000307301003,1211,49375,2.764840183,2694.022675,13278.72501,31,121745,96.84300341
G24000307501012,966,27708,2.555555556,2194.902601,6751.539371,8,88700,80.52884615
G24000307501021,1646,23800,2.592125984,2331.130505,6496.438134,13,82500,83.16532258
G24000307502012,1496,39063,2.579310345,4338.012464,8236.483774,5,95001,52.08388158
G24000307503001,894,23800,2.629411765,4619.46288,7999.5172,8,107950,75.67783094
G24000307512003,1359,35588,2.745454545,10697.67079,13895.21562,1,72400,92.46487867
G24000504001001,1569,34336,2.542949757,7538.380331,8675.488834,12,109750,80.55555556
G24000504001002,737,34336,1.721962617,6704.894039,7827.227724,,,
G24000504001003,832,34336,1.934883721,6658.489487,7674.575045,2,101450,67.89279844
G24000504002001,1409,26643,2.128398792,7615.388678,8408.603725,3,77900,70.68965517
G24000504002002,1138,40900,2.331967213,8330.676839,9196.762415,12,97500,76.06907895
G24000504004001,952,43214,2.525198939,9498.615365,10576.58676,7,115000,73.34710744
G24000504004002,1247,50714,2.976133652,8650.377131,10035.90996,12,141632,86.5074034
G24000504004003,953,57023,2.468911917,10047.42368,11083.59006,7,180000,99.32170543
G24000504004004,740,55859,2.652329749,10161.90061,11361.97177,8,127950,93.37322946
G24000504004005,549,50714,3.101694915,9369.6894,11256.53333,21,250000,92.31301939
G24000504005001,1693,62895,2.721864952,11104.24127,12488.10865,18,221535,97.8196297
G24000504006001,828,33676,2.059701493,8121.314031,8525.65978,7,85000,69.50844854
G24000504006002,1145,30417,2.26284585,8228.196085,8832.936823,6,91750,74.45008948
G24000504006003,1013,45469,2.545226131,8775.972199,9410.153951,8,132250,95.38659765
G24000504007011,1246,44132,2.286238532,8750.448815,9192.360333,6,101250,72.10477941
G24000504007012,1292,34850,1.931240658,9504.056777,9863.615684,5,118000,88.58858859
G24000504007021,1775,37349,2.701674277,8651.345565,8851.441897,3,104000,83.59375
G24000504008001,1826,34850,2.685294118,10262.06362,10797.03915,7,100000,78.76984127
G24000504008002,929,35380,2.254854369,9349.989592,10042.57283,6,114000,91.30952381
G24000504009001,1850,38705,2.493261456,11094.77308,11718.8301,4,109000,80.75617981
G24000504010001,1265,28000,3.504155125,10001.77572,10798.48979,3,95000,100
G24000504010002,1317,40114,2.82012848,10981.4749,11846.81714,3,130000,107.1225071
G24000504011011,1920,42428,3.132137031,10648.67357,10508.0983,4,96750,71.99123077
G24000504011012,1496,40873,2.514285714,10432.28896,10579.65352,12,99500,72.57621009
G24000504011013,2030,35652,2.509270705,9993.361464,9773.757636,16,99250,84.07642244
G24000504011014,1077,42428,2.71969697,11159.04875,10950.99656,7,105900,74.87091222
G24000504011021,853,35652,2.111386139,10882.80157,10331.28331,,,
G24000504012001,1136,42125,2.62962963,10308.4399,9526.199914,8,86450,62.85348299
G24000504012002,1717,41250,2.528718704,10512.33651,9505.189302,12,90000,65.18541012
G24000504013011,1754,39855,2.583210604,9217.844009,8931.207057,11,82000,72.80701754
G24000504013012,973,41932,2.78,9502.609058,9425.556933,7,86000,63.80208333
G24000504013013,981,46250,2.5546875,9630.025733,9721.366147,12,91450,74.5426015
G24000504013021,1777,31469,2.210199005,8789.975818,8706.922835,5,81000,71.2962963
G24000504013022,695,36875,2.473309609,9120.432821,9041.835017,3,84000,66.25
G24000504014001,1503,50854,2.683928571,12706.93471,13733.10952,5,150000,78.68369352
G24000504015031,1187,47139,2.66741573,13578.50262,13993.64652,12,148500,99.9547716
G24000504015032,1241,49259,2.537832311,12691.68161,13426.04092,6,159950,89.9553901
G24000504015033,812,51332,2.697674419,13720.66162,14352.34346,9,128900,92.20116618
G24000504015034,787,40781,2.406727829,13914.77124,14786.99635,8,128950,93.75099875
G24000504015035,1287,47139,2.543478261,12106.98271,12665.96019,10,147450,90.56687903
G24000504015041,1869,62640,3.048939641,13549.37423,13510.81381,13,137900,96.85534591
G24000504015042,1717,58264,3.012280702,12365.36392,12620.93085,16,153450,79.77231363
G24000504015043,2133,58264,2.669586984,13396.11843,13523.12824,10,114000,79.81283422
G24000504015051,889,48654,2.840255591,11805.68632,11678.31646,1,119900,71.28418549
G24000504015052,1443,34850,2.301435407,11129.71471,11412.1895,10,104000,83.19384873
G24000504015053,950,42708,2.473958333,11592.15103,11691.3872,7,122000,100.9389671
G24000504015061,737,33578,2.424342105,14579.50454,14190.02093,,,
G24000504015062,412,33578,2.340909091,14796.30309,14627.48197,49,110950,96.87711864
G24000504015063,409,33578,2.337142857,14279.04994,13984.2169,19,91105,82.76450512
G24000504015071,1026,42266,2.571428571,12529.00481,12038.22903,12,83450,60.67493113
G24000504015072,1691,39022,2.566009105,13235.83369,12867.88992,16,95000,62.83244681
G24000504015073,800,33578,1.951219512,13057.28439,12811.63549,,,
G24000504015074,1349,35280,2.141269841,13563.05916,13307.92112,,,
G24000504022011,1555,35543,2.781753131,22825.0208,21851.62039,5,152800,76.36138614
G24000504022012,1627,52346,4.139949109,25446.6011,24343.38171,3,106000,68.4079602
G24000504022021,1163,36812,2.755924171,18773.44309,18332.89245,7,174000,93.21401939
G24000504023021,1077,38750,2.346405229,16153.70202,15014.97448,6,100500,81.44235201
G24000504023022,2459,36745,2.577568134,17259.22151,16148.23918,6,100650,73.25188191
G24000504023031,1177,30938,2.406952965,14151.28491,12941.37614,1,40000,29.94011976
G24000504023032,1093,45735,2.914666667,14060.34473,12980.3882,1,82500,64.453125
G24000504023033,958,31808,2.624657534,14666.20042,13417.59212,2,97000,55.02739399
G24000504023034,1232,37974,2.42043222,15744.06549,14497.64473,25,89888,71.66392092
G24000504023035,1496,43309,3.022222222,15116.10274,13970.1666,5,75000,69.07894737
G24000504023041,1608,36837,2.791666667,13134.45257,11819.4409,4,87000,64.86679411
G24000504023042,1097,51273,2.941018767,13347.50494,12191.3144,3,87500,47.68392371
G24000504023043,1270,41364,2.822222222,13874.95829,12569.91143,7,72000,55.76923077
G24000504023051,867,46964,2.611445783,15898.82927,14224.92421,2,103250,97.22443566
G24000504023052,1006,34185,2.158798283,14249.29027,12805.37289,,,
G24000504023061,2580,35183,2.643442623,17028.00154,15699.48076,8,81550,55.84608155
G24000504023062,946,36774,2.401015228,16803.56618,15367.44447,6,102000,85
G24000504023071,840,36774,2.079207921,16314.90097,14819.68354,16,102408.5,85.74749722
G24000504023072,2549,31782,2.255752212,15555.5571,14169.1971,6,90950,67.88524855
G24000504023073,1534,36774,2.207194245,15941.27754,14409.82004,4,92562.5,63.00574681
G24000504024031,1034,38243,2.988439306,11137.97911,9789.948022,5,78000,62.39316239
G24000504024032,1174,32526,2.856447689,11709.1525,10436.29693,4,82450,53.81899872
G24000504024041,1813,36235,2.73453997,12500.61949,11435.67137,7,103000,84.18269231
G24000504024042,1895,32526,2.253269917,12013.03763,10870.60333,5,65000,53.10457516
