,GISJOIN,Shape_Area,fld_area,perc_fld_area
0,G24000307301003,18767129.5795,496.69799800000004,2.6466380801385888e-05
1,G24000307501021,657493.7461439999,11306.0996094,0.01719575231811226
2,G24000307502012,2469091.74669,1255.5699462999999,0.0005085149014746756
3,G24000307503001,1989940.4733800003,8326.9804688,0.0041845374674229635
4,G24000307512003,18490286.2786,36346.7001953,0.001965718629103454
5,G24000504001002,419841.12695699994,4743.4300537,0.01129815482365981
6,G24000504001003,460366.485637,15016.016616799998,0.032617527742104496
7,G24000504005001,5796995.940649998,89461.9804687,0.015432472505521355
8,G24000504006001,164545.711195,14.3269997,8.707002811529584e-05
9,G24000504006002,311779.0439039999,38911.7761841,0.12480561777616252
10,G24000504006003,492545.611848,39777.3007813,0.0807586136684034
11,G24000504007012,949882.5504350001,34258.69921879999,0.03606624756198666
12,G24000504008001,927377.264709,1605.3599854000001,0.0017310754171914523
13,G24000504008002,545498.1130890001,4271.3798828,0.007830237686089132
14,G24000504010002,767552.7567239999,6460.1601563,0.008416568241996393
15,G24000504011011,665792.9602670001,7824.620117199999,0.011752332307722395
16,G24000504011013,868279.091339,16533.5,0.019041688513428533
17,G24000504011014,518509.8351989999,2810.8200684,0.005420958056313878
18,G24000504011021,3464317.35904,461899.16519170004,0.13333049987074433
19,G24000504012001,846644.5406039999,6137.6620232999985,0.007249396563664562
20,G24000504012002,1108551.5815,67588.4370118,0.0609700424768191
21,G24000504013011,509788.25140000007,12635.2566719,0.0247853037750489
22,G24000504014001,2871557.55078,147701.7385254,0.05143610598550596
23,G24000504015033,937979.381185,19184.6201172,0.020453136286389402
24,G24000504015034,1709860.70441,37825.1992188,0.02212180157204786
25,G24000504015061,2003782.68335,1761.4300537000001,0.0008790524383388594
26,G24000504015071,1634356.67722,92231.8839435,0.056433142917361304
27,G24000504015072,667271.1640049999,6227.0,0.009332038211609786
28,G24000504022011,9560620.16939,148272.3984375,0.015508659042037885
29,G24000504022012,32919004.6235,216222.7529297,0.006568325968621309
30,G24000504022021,20888856.093199994,492180.2700195,0.02356185842937186
31,G24000504023022,1784547.49244,79249.6015625,0.04440879376885764
32,G24000504023041,469728.6929450001,867.026001,0.001845801659600809
33,G24000504023051,773773.2445879999,149962.317749,0.1938065431932172
34,G24000504023052,836549.1857049998,213845.40112310002,0.25562800702851957
