GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504001001,619,160000,1378.67205169628,44.7495961227787,1.84571890145396,1.93053311793215,0,0.162181540442819,0.758465257223531,0.625835914821559,0.368924821333831,1,-3374.28146893085
G24000504001003,245,134900,1407.17551020408,82.6530612244898,1.73469387755102,1.59183673469388,0,0.170160057937398,0.526550848862691,0.678855219345861,0.233191790819753,1,13538.2373187925
G24000504002001,520,149900,1345.19038461538,74.1153846153846,1.97307692307692,1.52692307692308,0,0.152809552602131,0.578789086561107,0.565016889572405,0.207177555277161,1,45485.7722887188
G24000504002002,647,160000,1352.75734157651,71.8083462132921,1.91499227202473,1.58423493044822,0,0.154927649901746,0.592904826234282,0.592754850746063,0.23014535755769,1,46013.7217929953
G24000504004001,291,207500,1751.3058419244,76.0206185567011,1.74226804123711,1.88659793814433,0.00643884372937243,0.266486960558523,0.567131809288338,0.675238224934394,0.351317739020861,0.989834094505732,34760.3605611342
G24000504004002,578,251450,2004.91868512111,56.0155709342561,1.81401384083045,2.1038062283737,0,0.337476749595574,0.689533778900881,0.640976467870471,0.43836425308084,1,32668.2121531848
G24000504004003,356,250000,1847.4691011236,82.0140449438202,1.79634831460674,1.76123595505618,0,0.293404404476658,0.53046070465732,0.649412529233139,0.301078755914157,1,85062.6868132957
G24000504004004,316,267200,1542.78164556962,72.5348101265823,1.5126582278481,1.67088607594937,0,0.208118115661875,0.588459917353416,0.78488695267061,0.264870920505649,1,108079.627085519
G24000504004005,771,295000,2332.45784695201,29.6407263294423,1.94422827496757,2.43579766536965,0,0.429159551249722,0.850909697058251,0.578793380722375,0.571410267382334,1,15583.7088589043
G24000504005001,848,326750,2247.2570754717,52.0695754716981,1.79952830188679,2.20518867924528,0.0012929463015619,0.405310661276551,0.713677566299685,0.647893946232141,0.478993406442845,0.99795864436795,77671.9413388698
G24000504006001,341,117000,1300.32551319648,76.9618768328446,2.00879765395894,1.55718475073314,0,0.140251246338706,0.561372669440812,0.547958678352201,0.219304961703519,1,18871.5700406068
G24000504006002,548,143000,1353.30839416058,82.5693430656934,1.94160583941606,1.53284671532847,0.0417324337780496,0.155081897242688,0.527063082960925,0.580045708388818,0.209551461324653,0.93411115478729,43076.99425748
G24000504006003,533,190000,1481.01688555347,80.5966228893058,1.73921200750469,1.73733583489681,0,0.190829293738651,0.53913327842566,0.676697614695368,0.291500750658047,1,52167.7503478525
G24000504007011,732,183350,1346.91666666667,69.49043715847,2.00068306010929,1.86475409836066,0,0.153292763141055,0.607087078586167,0.551833751802147,0.342563790887272,1,55874.3399165043
G24000504007012,365,151534,1366.4602739726,44.5479452054795,1.8013698630137,1.88493150684932,0,0.15876329271749,0.759699069305233,0.647014520254508,0.350649914441061,1,-10885.7067730684
G24000504007021,851,146000,1461.50528789659,76.7285546415981,1.88660399529965,1.73913043478261,0,0.185367724111583,0.562800263931056,0.606311494425988,0.292219938972757,1,15619.3286170708
G24000504008001,615,130000,1250.49756097561,69.3154471544716,1.59186991869919,1.52845528455285,0,0.126303704204318,0.608157764422869,0.747059906014983,0.207791589542826,1,6124.28375423794
G24000504008002,347,208435,1682.86167146974,73.7146974063401,1.85158501440922,1.70028818443804,0,0.247328478045776,0.581240712996157,0.623034589334604,0.276653854974907,1,57638.283634107
G24000504009001,551,185000,1533.9056261343,69.6769509981851,1.56987295825771,1.76043557168784,0.00179783188345571,0.205633593430037,0.605945883535197,0.757564416649226,0.300758001204233,0.997161510701305,22326.5420590909
G24000504010001,292,167000,1821.88698630137,90.1575342465753,1.98287671232877,1.74657534246575,0,0.286243612020486,0.480634323386547,0.560337061616937,0.295203495726653,1,23000.0800477411
G24000504010002,297,260000,2105.52525252525,78.3030303030303,2.00505050505051,1.98653198653199,0.00136757031239308,0.365637937750476,0.553166749145014,0.549748105835218,0.391366443141964,0.997840824977762,69658.9620952024
G24000504011011,497,129900,1389.31187122736,51.6036217303823,1.68812877263582,1.38832997987928,0,0.165159775040023,0.716528529554649,0.701092093438891,0.151636185480918,1,-4964.35069138799
G24000504011012,828,118000,1316.35869565217,64.3236714975846,1.58212560386473,1.24275362318841,0,0.144739158803136,0.638700214698338,0.751713242510008,0.093296265001314,1,1811.55757215773
G24000504011013,950,122350,1203.27684210526,59.3915789473684,1.27789473684211,1.52,0,0.113085963223497,0.668877490646458,0.896996786861835,0.204403122901276,1,-24248.8142534635
